Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Bangladesh,BGD,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,6.05816082548085,5.45303096987189,-0.455894289938712,10.9527885460417,1.60625822891576,2.56681200128052,-1.87586391964774,9.48945401547951,1.22085790909685,5.61985229280111,-5.47948302721956,-13.9737287020439,3.32568019878394,9.59195630041845,-4.08821409181658,5.66136120119664,2.67305605001984,7.0738377326069,4.80163460055662,0.81914186889891,7.23394369490723,2.13432783577075,3.88104639981715,4.80331001525438,3.34201465415414,4.173382559004,3.77240185252705,2.41625685566223,2.83658212907926,5.62225816160702,3.4852278153552,5.44268555072129,4.7115617244945,3.89012644065639,5.12127789716163,4.52291921762344,4.48989649735631,5.17702687345256,4.67015636827865,5.2932947184604,5.07728777597312,3.83312394005608,4.73956739916446,5.2395329104527,6.53594494052352,6.67190498148148,7.0585993565727,6.01378975923306,5.04512479417738,5.57178818823149,6.46437912329563,6.52145878084202,6.01360565777871,6.06105935877214,6.55263987879651,7.11347821327269,7.28417442269364,7.86374303036237,8.15268494677524,..
Bangladesh,BGD,GDP per capita (constant LCU),NY.GDP.PCAP.KN,19592.4050533783,20211.3386864691,20730.0240677455,20062.3895973961,21622.0343299049,21317.4622252276,21186.587066712,20128.3048150574,21356.7252346883,21010.0065515562,21654.3124691959,20061.9988456567,16975.1833290169,17277.3377886508,18630.289680872,17530.9733919021,18113.4341160275,18139.10267841,18910.8849218248,19287.4539509677,18930.1413792311,19771.235630678,19672.4349199443,19911.5567386341,20331.2574094608,20467.2777112972,20766.9735823122,20990.953503931,20947.4423226854,21004.8557464293,21653.2722874809,21892.8969886276,22574.6902328892,23131.287399251,23522.3022908853,24204.7421562208,24766.2021598109,25337.4809392539,26101.3247861976,26773.2274451344,27645.3652432541,28506.1880316094,29065.0183457512,29920.068537207,30983.2363543858,32521.8152010884,34227.4319953652,36196.6801489434,37936.3542564921,39407.7162910153,41138.0958875797,43299.11747006,45593.2209235983,47779.1409344609,50099.3477744068,52789.0668532251,55930.4932479944,59365.7969316867,63365.301127651,67820.8853994422,..
Barbados,BRB,GDP (constant 2010 US$),NY.GDP.MKTP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2730324074.84173,2678447917.41974,2795233898.26917,2897042068.54516,3038329052.16921,3278144611.44198,3421500000,3356500000,3192000000,3208000000,3323500000,3360000000,3531500000,3623000000,3750000000,3885000000,3756500000,3610000000,3404500000,3431500000,3500500000,3571000000,3713000000,3889000000,4034000000,4047500000,4227500000,4127500000,4160000000,4250500000,4310500000,4481000000,4745500000,4850000000,4884000000,4636000000,4530000000,4499500000,4479000000,4416000000,4410500000,4518500000,4630500000,4652500000,4625500000,4621053250,..
Barbados,BRB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-1.90000000000008,4.36021100466048,3.64220576814806,4.87693931538253,7.89300813555889,4.3730648140921,-1.89975157094841,-4.90093847758082,0.50125313283209,3.60037406483791,1.09823980743194,5.10416666666667,2.59096701118504,3.50538227987856,3.60000000000001,-3.30759330759331,-3.89990682816452,-5.69252077562327,0.793067998237618,2.01078245665161,2.01399800028568,3.97647717726126,4.74010234311876,3.72846490100282,0.334655428854731,4.44718962322422,-2.36546422235364,0.787401574803141,2.17548076923077,1.41159863545465,3.95545760352627,5.90270029011381,2.2020861869139,0.701030927835049,-5.07780507780508,-2.28645383951682,-0.673289183222963,-0.455606178464279,-1.40656396517079,-0.124547101449281,2.44870196122888,2.47869868319133,0.475110679192298,-0.580333154218167,-0.0961355529131964,..
Barbados,BRB,GDP per capita (constant LCU),NY.GDP.PCAP.KN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,22320.7932738324,21762.3757275505,22580.1763309207,23275.3031373011,24286.9114452601,26084.197886159,27112.3719264325,26502.3805951883,25125.7468061492,25181.7197042247,26015.9610484663,26223.0599033025,27471.0529079333,28083.20317496,28960.1007039235,29889.558657778,28792.5008431186,27567.2476661385,25900.9608727738,26008.6253287554,26429.5394744293,26854.1670583369,27807.6308093271,29002.1514838527,29955.1489589212,29931.4848161035,31140.0843415649,30293.5779816514,30428.8196031819,30988.3388194467,31316.7492480493,32433.0584135233,34204.6367807061,34804.4492285612,34892.4435426832,32984.2335932609,32112.7419532061,31800.0473519985,31575.6080366584,31066.2126797422,30969.8937944352,31672.7649969859,32404.2323895366,32508.4808530114,32273.819865267,32199.6568243184,..
Belarus,BLR,GDP (constant 2010 US$),NY.GDP.MKTP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,31609653425.5172,31230338984.7805,28232226006.2732,26086576309.6993,23034445864.7262,20638863381.5805,21216752516.0832,23635463449.7575,25620840351.69,26491948709.2598,28028482645.7397,29352914216.1911,30833847251.5793,33005534486.7779,36784583396.0769,40242334795.7495,44266566187.7427,48073493773.2612,52976989868.7029,53082941363.8271,57222490768.7143,60300321142.6581,61317669289.2363,61932974220.8466,63002175707.5323,60589462935.5585,59058702608.9201,60554177331.8333,62461148027.2823,63224483611.5246,..
Belarus,BLR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-1.19999556980412,-9.60000139597707,-7.60000184221087,-11.7000038975536,-10.4000004914994,2.80000465053934,11.4000054053548,8.39999142031991,3.39999916322964,5.80000344007455,4.72530599387508,5.04526748002185,7.04319255874692,11.4497431053961,9.40000152357688,9.99999481247372,8.6000065362481,10.1999994395436,0.199995310014472,7.79826682269731,5.37870744981015,1.68713553642841,1.00347084085645,1.72638485417002,-3.82957055828379,-2.52644643552364,2.53218350023035,3.14919759374963,1.22209662862558,..
